[ID]	ENGLISH                                           MIYASAN                                           CLASS                                             
67	beneath                                           -lda                                              postposition
68	beverage                                          noun                                              tyewisimi
69	beyond                                            -lasso                                            postposition
70	bird                                              lyetta                                            noun
71	birthday                                          narondikári                                       noun
72	black                                             hessisaka                                         noun
73	black                                             hessisaka                                         noun
74	block/brick                                       tolla                                             noun
75	bottle                                            muhata                                            noun
76	building                                          télana                                            noun
77	but                                               kai                                               conjunction
78	by means of                                       -vara                                             postposition
79	chicken                                           tyikki                                            noun (loan)
80	clothes                                           fifito                                            noun
81	cold                                              pinta                                             verb
82	color                                             saka                                              noun
83	computer                                          kínanu                                            noun
84	computer network                                  ithisadéri                                        noun
85	day                                               ethikári                                          noun
86	dream                                             ímana                                             noun
87	during (a krr)                                    -ka                                               postposition
88	dusk                                              hassinaro                                         noun
89	east                                              irdahe                                            noun
90	edge                                              táye                                              noun
91	entirety                                          tenna                                             noun
92	even though ...                                   ... sikeri                                        clausal postposition
93	family                                            familya                                           noun (loan)
94	female person                                     ardikita                                          noun
95	fish                                              parmanu                                           noun
96	flower                                            marimo                                            noun
97	force                                             kyaeri                                            noun
98	friend                                            mirinı                                            noun
99	from                                              -zin                                              postposition
100	fun                                               kezesenéri                                        noun
101	glasses                                           takisimi                                          noun
102	gold                                              eirimo                                            noun
103	ground                                            linta                                             noun
104	hall, auditorium                                  isída                                             noun
105	hat                                               pıtúra                                            noun
106	head                                              thána                                             noun
107	hot                                               gozırna                                           verb
108	how                                               meya                                              inta
109	if ...                                            ... rena                                          clausal postposition
110	kinisimi                                          animal                                            noun
111	leaf                                              kesalima                                          noun
112	leave                                             kesala                                            verb
113	lightt                                            kessi                                             noun
114	like                                              -len                                              postposition
115	locative                                          -mi                                               postposition
116	male person                                       ordikita                                          noun
117	marimo                                            taská                                             noun
118	matter                                            hinda                                             noun
119	meat                                              munu                                              noun
120	method                                            rina                                              noun
121	milk                                              anazu                                             noun
122	money                                             dhondi                                            verb
123	nari                                              narya                                             clausal postposition
124	night                                             hassi                                             noun
125	north                                             muna                                              noun
126	nut                                               thaka                                             noun
127	often                                             simisimi                                          adverb
128	or                                                ize                                               particle
129	otherwise                                         semarya                                           adverb
130	parent                                            anı                                               noun
131	park                                              parkı                                             noun, loan
132	party                                             teftidéri                                         noun
133	person                                            kita                                              noun
134	place                                             pata                                              noun
135	plain                                             myéra                                             noun
136	please ...                                        ... tuddá                                         verbal clitic
137	preserved meat                                    asarimunu                                         noun
138	race                                              hyattikıavari                                     noun
139	rain                                              ambe                                              noun
140	river                                             tilba                                             noun
141	rock                                              kata                                              noun
142	router                                            ithisa                                            noun
143	shoulder                                          lolo                                              noun
144	sky                                               minda                                             noun
145	so (many, big)                                    naya                                              adverb
146	solar system                                      atála                                             noun
147	some                                              mirimiri                                          irr. attr.
148	south                                             nazaha                                            noun
149	star                                              síle                                              noun
150	still                                             nán                                               adverb
151	storm                                             temlano                                           noun
152	structure                                         tandá                                             noun
153	sun                                               aifa                                              noun
154	sunglasses                                        aifatakisimi                                      noun; calque
155	that                                              tel-                                              affix
156	that one (it/he)                                  telli                                             noun
157	the past                                          numan                                             noun
158	thing                                             simi                                              noun
159	this                                              min-                                              affix
160	this one                                          minni                                             noun
161	through                                           -karam                                            postposition
162	time                                              kári                                              noun
163	to advertise                                      arekinlemma                                       verb
164	to agree                                          lemmidéra                                         verb
165	to be                                             -la                                               clitic
166	to be able to                                     yona                                              verb; i-clitic
167	to be as if ...                                   ...-lena                                          verbifyer
168	to be awesome                                     sattera                                           verb
169	to be beautiful                                   talyata                                           verb
170	to be blond                                       kessiarila                                        verb
171	to be blue                                        ityola                                            verb
172	to be brave                                       kuzarána                                          verb
173	to be bright                                      hessa                                             verb
174	to be clean                                       adhuska                                           verb
175	to be correct                                     mahtakira                                         verb
176	to be correct                                     miresa                                            verb
177	to be deep                                        asáta                                             verb
178	to be different                                   sinaka                                            verb
179	to be dirty                                       adhuskemána                                       verb
180	to be empty                                       heakira                                           verb
181	to be evil                                        vunda                                             verb
182	to be excessively blah                            -sóla                                             i- verb clitic
183	to be famous                                      kitasenérida                                      verb
184	to be far away                                    areka                                             verb
185	to be fast                                        hyatta                                            verb
186	to be female                                      ardina                                            verb
187	to be flat                                        sasaya                                            verb
188	to be free                                        samma                                             verb
189	to be full                                        yarnikira                                         verb
190	to be general                                     marda                                             verb
191	to be gentle                                      wena                                              verb
192	to be good                                        keza                                              verb
193	to be great                                       zarelda                                           verb
194	to be happy                                       tefta                                             verb
195	to be hard                                        kızıra                                            verb
196	to be heavy                                       moyarna                                           verb
197	to be high                                        mindanla                                          verb
198	to be holy                                        sankta                                            verb (loan)
199	to be large                                       pelva                                             verb
200	to be last                                        lanta                                             verb
201	to be long                                        nitera                                            verb
202	to be low                                         lintanla                                          verb
203	to be male                                        ordina                                            verb
204	to be many                                        íarna                                             verb
205	to be near                                        mintha                                            verb
206	to be new                                         atara                                             verb
207	to be old                                         uturna                                            verb
208	to be one                                         punna                                             verb
209	to be ordered                                     melema                                            verb
210	to be other                                       kıssa                                             verb
211	to be peaceful                                    harna                                             verb
212	to be red                                         arısaka                                           noun
213	to be red                                         takara                                            verb
214	to be rich                                        dhondikira                                        verb
215	to be round                                       myamyara                                          verb
216	to be sad                                         níla                                              verb
217	to be seven                                       sonora                                            verb
218	to be slow                                        gımma                                             verb
219	to be small                                       mikima                                            verb
220	to be straight                                    indhura                                           verb
221	to be strong                                      kyara                                             verb
222	to be sweet                                       awena                                             verb
223	to be thick                                       dúrka                                             verb
224	to be tired                                       aerda                                             verb
225	to be together                                    déra                                              verb
226	to be two                                         verb                                              mella
227	to be united                                      issa                                              verb
228	to be wet                                         nalimakira                                        verb
229	to be wrong                                       mahtakiremána                                     verb
230	to be yello                                       mínıssa                                           verb
231	to become                                         -lassa                                            clitic
232	to begin ...                                      hikira                                            verb; i-clitic
233	to bring                                          iraka                                             verb
234	to build                                          takora                                            verb
235	to buy                                            masara                                            verb
236	to casually date                                  nıhtaridéra                                       verb
237	to come                                           minkina                                           verb
238	to compete                                        kıavara                                           verb
239	to complete/end                                   mozaka                                            verb; i-clitic
240	to correct                                        miresisa                                          verb
241	to create                                         nara                                              verb
242	to date (a person)                                kulidéra                                          verb
243	to drink                                          verb                                              tyewa
244	to end                                            usilda                                            verb
245	to fall                                           zahídra                                           verb
246	to feel                                           néra                                              verb
247	to fight                                          kaza                                              verb
248	to find                                           minetaka                                          verb
249	to fly                                            halma                                             verb
250	to frighten                                       hurira                                            verb
251	to give                                           katta                                             verb
252	to go                                             telkina                                           verb
253	to greet                                          hayána                                            verb
254	to hate                                           ózúra                                             verb
255	to have                                           -kira                                             enclitic
256	to help                                           imira                                             verb
257	to hope                                           neldira                                           verb
258	to know                                           ótúra                                             verb
259	to learn, study                                   lirana                                            verb
260	to live                                           haera                                             verb
261	to love (fpo)                                     kula                                              verb
262	to marry (intr)                                   kuliissa                                          verb
263	to meet again                                     mildéra                                           verb
264	to move                                           kina                                              verb
265	to party                                          teftidéra                                         verb
266	to pass (time)                                    kára                                              verb
267	to promise                                        haslemma                                          verb
268	to push                                           kyaera                                            verb
269	to put                                            kurka                                             verb
270	to reach                                          yunta                                             verb
271	to read                                           tassa                                             verb
272	to recall                                         milsenéra                                         verb
273	to rest                                           yúsıra                                            verb
274	to see                                            taka                                              verb
275	to sell                                           ura                                               verb
276	to send                                           atira                                             verb
277	to set                                            kudıva                                            verb
278	to shallowly love romantically                    nıhtara                                           verb
279	to sleep                                          mimara                                            verb
280	to smell                                          kisva                                             verb
281	to split                                          kazda                                             verb
282	to take                                           sarena                                            verb
283	to talk                                           lemma                                             verb
284	to taste                                          lakra                                             verb
285	to think about                                    senéra                                            verb
286	to throw                                          katta                                             verb
287	to travel                                         tarina                                            verb
288	to tremble                                        lilira                                            verb
289	to try to                                         -nama                                             verb; i-clitic
290	to want to ...                                    verb; i-clitic                                    riza
291	to wear                                           máka                                              verb
292	to write                                          saha                                              verb
293	too                                               -lí                                               postposition
294	top                                               ari                                               noun
295	towards                                           -ta                                               postposition
296	tree                                              tilara                                            noun
297	truth                                             mahta                                             noun
298	vacation                                          yúsırikári                                        noun
299	very                                              tona                                              verbal postposition
300	wall                                              tyuna                                             noun
301	water                                             nalima                                            noun
302	wave                                              wari                                              noun
303	west                                              lafahe                                            noun
304	what                                              mesimi                                            intp
305	wide/fat                                          kıhtara                                           verb
306	wing                                              mahtan                                            noun
307	word                                              lemmisi                                           noun
308	world                                             aise                                              noun
309	year                                              aifakári                                          noun

